"Constitution Beach, East Boston: Bacterial Water Quality",,,,,,,,,
,,,,North,,Middle,,South,
"July 3, 2007",0,0,0.21,<,10,<,10,<,10
"July 2, 2007",0,0.21,0.21,<,10,<,10,,10
"July 1, 2007",0.21,0.21,0.21,,10,,10,,20
"June 30, 2007",0,0,0.02,,10,<,10,,10
"June 29, 2007",0,0.02,0.02,<,2,,2,,2
"June 28, 2007",0.02,0.02,0.02,,2,,2,,2
"June 27, 2007",0,0,0,<,10,<,10,<,10
"June 26, 2007",0,0,0,,10,<,10,,10
"June 25, 2007",0,0,0,<,10,<,10,<,10
"June 24, 2007",0,0,0.03,<,10,<,10,<,10
"June 23, 2007",0,0.03,0.12,<,10,<,10,,10
"June 22, 2007",0.03,0.12,0.28,<,2,,13,,6
"June 21, 2007",0.09,0.25,0.25,,4,<,2,,4
"June 20, 2007",0.16,0.16,0.16,,10,<,10,,10
"June 19, 2007",0,0,0.02,<,10,<,10,,10
"June 18, 2007",0,0.02,0.02,<,10,<,10,<,10
"June 15, 2007",0,0,0,,2,,2,,4
"June 14, 2007",0,0,0.07,,4,,5,<,2
"June 7, 2007",0,0,0,,2,,2,,4
"May 31, 2007",0,0,0,<,2,<,2,,4
"May 24, 2007",0,0,0,<,2,<,2,<,2
"September 4, 2006",0,0.25,0.25,,5,,25,,10
"September 3, 2006",0.25,0.25,0.25,,30,,450,,10
"September 2, 2006",0,0,0,,15,,40,,25
"September 1, 2006",0,0,0,,4,,5,,4
"August 31, 2006",0,0,0.14,,2,,7,,8
"August 30, 2006",0,0.14,0.25,<,5,<,5,<,5
"August 29, 2006",0.14,0.25,0.65,,10,,20,<,10
"August 28, 2006",0.11,0.51,0.51,<,5,<,5,<,5
"August 27, 2006",0.4,0.4,1.24,<,5,<,5,<,5
"August 26, 2006",0,0.84,0.85,<,10,<,10,<,10
"August 25, 2006",0.84,0.85,0.85,,450,,420,,340
"August 24, 2006",0.01,0.01,0.01,,2,<,2,,2
"August 23, 2006",0,0,0,<,5,<,5,<,5
"August 22, 2006",0,0,0.8,<,5,<,5,<,5
"August 21, 2006",0,0.8,0.8,<,5,,5,<,5
"August 20, 2006",0.8,0.8,0.8,,50,,115,,50
"August 19, 2006",0,0,0,<,5,<,5,<,5
"August 18, 2006",0,0,0,,30,,36,,33
"August 17, 2006",0,0,0.53,,2,<,2,<,2
"August 16, 2006",0,0.53,0.53,<,10,<,10,<,10
"August 15, 2006",0.53,0.53,0.53,,15,,20,,15
"August 14, 2006",0,0,0,,15,,20,,25
"August 13, 2006",0,0,0,<,5,<,5,<,5
"August 12, 2006",0,0,0,<,5,,5,,5
"August 11, 2006",0,0,0,,4,,6,,5
"August 10, 2006",0,0,0,,6,,5,,4
"August 9, 2006",0,0,0.04,,5,,20,,5
"August 8, 2006",0,0.04,0.04,,10,<,5,<,5
"August 7, 2006",0.04,0.04,0.04,<,5,,5,,20
"August 6, 2006",0,0,0.31,<,5,<,5,<,5
"August 5, 2006",0,0.31,0.31,<,5,<,5,<,5
"August 4, 2006",0.31,0.31,0.31,,5,,4,,4
"August 3, 2006",0,0,0.02,<,2,,4,,4
"August 2, 2006",0,0.02,0.02,<,5,<,5,<,5
"August 1, 2006",0.02,0.02,0.02,<,5,,5,<,5
"July 31, 2006",0,0,0,,10,<,5,<,5
"July 30, 2006",0,0,0.29,<,5,,5,,5
"July 29, 2006",0,0.29,0.29,,5,,10,,5
"July 28, 2006",0.29,0.29,0.29,,54,,17,,12
"July 27, 2006",0,0,0,,20,,18,,24
"July 26, 2006",0,0,0,,10,<,5,<,5
"July 25, 2006",0,0,0.11,,5,,15,,5
"July 24, 2006",0,0.11,0.23,<,5,,35,<,5
"July 23, 2006",0.11,0.23,1.52,<,5,,5,,15
"July 22, 2006",0.12,1.41,1.41,,40,,55,,75
"July 21, 2006",1.29,1.29,1.48,,2,,6,,8
"July 20, 2006",0,0.19,0.41,,2,,2,,4
"July 19, 2006",0.19,0.41,0.41,,275,,145,,5
"July 18, 2006",0.22,0.22,0.22,,10,<,5,,5
"July 17, 2006",0,0,0,<,5,,10,<,5
"July 16, 2006",0,0,0,,15,,15,,5
"July 15, 2006",0,0,0.17,,5,,5,,10
"July 14, 2006",0,0.17,1.19,,89,,68,,64
"July 13, 2006",0.17,1.19,1.21,,132,,144,,122
"July 12, 2006",1.02,1.04,1.04,<,5,<,5,<,5
"July 11, 2006",0.02,0.02,0.02,,160,,150,,35
"July 10, 2006",0,0,0,<,5,,5,<,5
"July 9, 2006",0,0,0,,10,<,5,<,5
"July 8, 2006",0,0,0.15,<,5,,10,<,5
"July 7, 2006",0,0.15,0.15,,2,<,2,<,2
"July 6, 2006",0.15,0.15,0.15,,215,,131,,156
"July 5, 2006",0,0,0,<,5,<,5,,60
"July 4, 2006",0,0,0,<,5,,5,<,5
"July 3, 2006",0,0,0,<,5,<,5,<,5
"July 2, 2006",0,0,0.13,<,5,<,5,<,5
"July 1, 2006",0,0.13,0.13,,10,<,5,<,5
"June 30, 2006",0.13,0.13,0.18,,2,<,2,<,2
"June 29, 2006",0,0.05,0.05,,160,,138,,160
"June 27, 2006",0,0,0.95,,8,,16,,8
"June 22, 2006",0,0,0.37,,423,,523,,500
"June 15, 2006",0.1,0.1,0.1,,46,,70,,48
"June 12, 2006",0,0,0.43,,114,,20,,186
"June 5, 2006",0,0.3,2.21,,6,<,2,,12
"June 1, 2006",0.12,0.12,0.12,,2,,4,,18
"September 2, 2005",0,0.19,0.22,,8,,42,,22
"August 25, 2005",0,0,0,,29,,6,,2
"August 21, 2005",0.02,0.02,0.02,,160,,45,,230
"August 20, 2005",0,0,0,,600,,235,,1000
"August 18, 2005",0,0,0,,91,,114,,65
"August 17, 2005",0,0,0.13,,75,,55,,5
"August 16, 2005",0,0.13,0.73,,135,,5,,10
"August 15, 2005",0.13,0.73,0.8,,1180,,380,,1220
"August 14, 2005",0.6,0.67,0.67,,5,,10,<,5
"August 13, 2005",0.07,0.07,0.3,,10,,5,,15
"August 12, 2005",0,0.23,0.23,,106,,22,,57
"August 10, 2005",0,0.02,0.02,,15,,35,,5
"August 9, 2005",0.02,0.02,0.02,,25,,40,,25
"August 8, 2005",0,0,0,,15,,85,,195
"August 7, 2005",0,0,0.55,,5,,10,,35
"August 6, 2005",0,0.55,0.55,,5,,20,,15
"August 4, 2005",0,0,0.01,,10,<,2,,24
"August 3, 2005",0,0.01,0.57,,5,,5,,425
"August 2, 2005",0.01,0.57,0.57,,1000,,545,,75
"August 1, 2005",0.56,0.56,0.56,,20,,10,,10
"July 31, 2005",0,0,0,<,5,,35,<,5
"July 30, 2005",0,0,0,,5,,5,,5
"July 29, 2005",0,0,0,<,2,<,2,,2
"July 28, 2005",0,0,0,,2,<,2,<,2
"July 27, 2005",0,0,0,,5,,5,,5
"July 26, 2005",0,0,0,,5,,5,,10
"July 25, 2005",0,0,0,,5,<,5,,10
"July 24, 2005",0,0,0.15,,1090,,70,,55
"July 23, 2005",0,0.15,0.15,,25,,10,,5
"July 22, 2005",0.15,0.15,0.15,,2,<,2,,8
"July 21, 2005",0,0,0,<,2,,2,,24
"July 20, 2005",0,0,0.03,,5,,15,,5
"July 19, 2005",0,0.03,0.03,,85,,20,,55
"July 18, 2005",0.03,0.03,0.03,,5,<,5,,20
"July 17, 2005",0,0,0,<,5,,5,,30
"July 16, 2005",0,0,0,,10,<,5,<,5
"July 15, 2005",0,0,0,,6,<,2,,2
"July 13, 2005",0,0,0,<,5,<,5,<,5
"July 12, 2005",0,0,0,,45,,15,,10
"July 11, 2005",0,0,0.2,,20,<,5,,5
"July 10, 2005",0,0.2,1.15,,5,,35,,30
"July 9, 2005",0.2,1.15,1.15,,90,,80,,60
"July 6, 2005",2.04,2.04,2.04,,13700,,18200,,8450
"July 5, 2005",0,0,0,,15,<,5,,35
"July 4, 2005",0,0,0,,20,<,5,,5
"July 3, 2005",0,0,0,,25,<,5,<,5
"July 2, 2005",0,0,0,<,5,<,5,,5
"July 1, 2005",0,0,0,<,2,,6,,10
"June 30, 2005",0,0,0,,6,,4,,2
"June 24, 2005",0,0,0.03,,2,,5,,5
"June 23, 2005",0,0.03,0.03,,2,,2,,8
"June 17, 2005",0.01,0.14,0.2,,2,,4,,2
"June 16, 2005",0.13,0.19,0.19,,10,,8,,18
"September 3, 2004",0,0,0,,6,,2,,2
"September 2, 2004",0,0,0.17,,49,,52,,54
"August 27, 2004",0,0,0,,5,,10,,16
"August 26, 2004",0,0,0,,6,,8,,18
"August 21, 2004",1.05,1.16,1.16,<,5,,10,,
"August 20, 2004",0.11,0.11,0.11,,2,<,2,,2
"August 19, 2004",0,0,0.03,,2,,4,,6
"August 18, 2004",0,0.03,0.16,,10,<,5,,10
"August 17, 2004",0.03,0.16,1.17,,5,,15,,20
"August 16, 2004",0.13,1.14,1.15,<,5,<,5,,5
"August 15, 2004",1.01,1.02,1.82,,25,,120,,20
"August 14, 2004",0.01,0.81,1.36,<,5,<,5,,25
"August 13, 2004",0.8,1.35,1.35,,2000,,1700,,1830
"August 12, 2004",0.55,0.55,0.55,,12,,14,,18
"August 11, 2004",0,0,0,,5,,5,,5
"August 10, 2004",0,0,0,<,5,,5,,5
"August 9, 2004",0,0,0,,10,<,5,<,5
"August 8, 2004",0,0,0,<,5,,5,<,5
"August 7, 2004",0,0,0.34,<,5,,5,<,5
"August 6, 2004",0,0.34,0.34,,16,,75,,64
"August 5, 2004",0.34,0.34,0.34,,500,,390,,485
"August 4, 2004",0,0,0,<,5,<,5,,5
"August 3, 2004",0,0,0,,15,,20,<,5
"August 2, 2004",0,0,0,,75,<,5,,10
"August 1, 2004",0,0,0,,315,,20,,25
"July 31, 2004",0,0,0,,25,,10,,20
"July 30, 2004",0,0,0.21,,14,,25,,57
"July 29, 2004",0,0.21,0.27,,22,,27,,18
"July 28, 2004",0.21,0.27,0.27,<,5,,25,,45
"July 27, 2004",0.06,0.06,0.06,<,5,<,5,<,5
"July 26, 2004",0,0,1.2,<,5,<,5,<,5
"July 25, 2004",0,1.2,1.2,,370,,5,,135
"July 24, 2004",1.2,1.2,1.2,,500,,25,,100
"July 23, 2004",0,0,0,,41,,2,,8
"July 22, 2004",0,0,0,,,,10,,6
"July 21, 2004",0,0,0.04,<,5,,5,,5
"July 20, 2004",0,0.04,0.04,<,5,,5,<,5
"July 19, 2004",0.04,0.04,0.04,<,5,,10,,5
"July 18, 2004",0,0,0,,5,<,5,,5
"July 17, 2004",0,0,0,<,5,<,5,,30
"July 16, 2004",0,0,0.44,,18,,18,,13
"July 15, 2004",0,0.44,0.61,,8,,102,,54
"July 14, 2004",0.44,0.61,0.61,,10,<,5,,5
"July 13, 2004",0.17,0.17,0.17,,40,,220,,20
"July 12, 2004",0,0,0,,5,<,5,,5
"July 11, 2004",0,0,0,,10,,65,,10
"July 10, 2004",0,0,0.06,,5,,10,,5
"July 9, 2004",0,0.06,0.06,,6,,5,,20
"July 8, 2004",0.06,0.06,0.06,,50,,18,,14
"July 7, 2004",0,0,0.88,,105,,155,,195
"July 6, 2004",0,0.88,0.88,,5000,,1000,,2500
"July 5, 2004",0.88,0.88,0.88,,130,,200,,5
"July 2, 2004",0.7,0.81,0.81,,490,,186,,76
"July 1, 2004",0.11,0.11,0.15,,26,<,2,,8
"June 25, 2004",0.2,0.2,0.2,,10,,4,,4
"June 24, 2004",0,0,0,,2,,2,,6
"June 18, 2004",0.09,0.1,0.1,,20,,22,,78
"June 17, 2004",0.01,0.01,0.01,<,2,<,2,<,2
"August 29, 2003",0,0,0,,72,,12,,36
"August 28, 2003",0,0,0,,18,,10,,15
"August 23, 2003",0,0.07,0.07,,5,<,5,,5
"August 22, 2003",0.07,0.07,0.07,,18,,56,,51
"August 21, 2003",0,0,0,,8,,7,,3
"August 20, 2003",0,0,0,,10,,85,,5
"August 19, 2003",0,0,0.03,,10,<,5,,10
"August 18, 2003",0,0.03,0.03,,5,,5,<,5
"August 17, 2003",0.03,0.03,0.03,<,5,,10,,5
"August 16, 2003",0,0,0,<,5,<,5,<,5
"August 15, 2003",0,0,0.05,,46,,8,,86
"August 14, 2003",0,0.05,0.09,,234,,90,,24
"August 13, 2003",0.05,0.09,0.09,,15,,5,<,5
"August 12, 2003",0.04,0.04,0.25,,650,,15,,10
"August 11, 2003",0,0.21,0.22,,10,,5,,5
"August 10, 2003",0.21,0.22,1.11,<,5,,30,,5
"August 9, 2003",0.01,0.9,1.25,,5,<,5,,5
"August 8, 2003",0.89,1.24,1.24,,170,,650,,1100
"August 7, 2003",0.35,0.35,0.36,,24,,8,,18
"August 6, 2003",0,0.01,0.25,<,5,,5,<,5
"August 5, 2003",0.01,0.25,0.41,,25,,30,,25
"August 4, 2003",0.24,0.4,0.45,,80,,70,,35
"August 3, 2003",0.16,0.21,1.06,<,5,<,5,<,5
"August 2, 2003",0.05,0.9,0.9,<,5,<,5,<,5
"July 30, 2003",0,0,0,<,5,<,5,<,5
"July 29, 2003",0,0,0,,15,<,5,,20
"July 28, 2003",0,0,0,<,5,<,5,<,5
"July 27, 2003",0,0,0,<,5,,10,<,5
"July 26, 2003",0,0,0.23,<,5,,5,,5
"July 25, 2003",0,0.23,0.86,,26,,12,,16
"July 24, 2003",0.23,0.86,1.18,,182,,110,,118
"July 23, 2003",0.63,0.95,0.95,,80,,540,,40
"July 22, 2003",0.32,0.32,0.32,<,5,,10,,125
"July 21, 2003",0,0,0.43,,15,<,5,<,5
"July 20, 2003",0,0.43,0.6,,10,,5,<,5
"July 19, 2003",0.43,0.6,0.6,<,5,<,5,<,5
"July 18, 2003",0.17,0.17,0.19,,2,,8,,18
"July 17, 2003",0,0.02,0.02,,6,<,2,,12
"July 16, 2003",0.02,0.02,0.02,,10,<,5,,20
"July 15, 2003",0,0,0,<,5,,5,<,5
"July 14, 2003",0,0,0,,10,<,5,,5
"July 13, 2003",0,0,0.21,,10,,15,,10
"July 12, 2003",0,0.21,0.21,<,5,<,5,,10
"July 11, 2003",0.21,0.21,0.31,,28,,8,,46
"July 10, 2003",0,0.1,0.1,,2,,6,,26
"July 9, 2003",0.1,0.1,0.1,<,5,,15,,5
"July 8, 2003",0,0,0,<,5,<,5,,5
"July 7, 2003",0,0,0,,5,<,5,<,5
"July 2, 2003",0,0,0,,22,,32,,10
"July 1, 2003",0,0,0,,2,,22,,12
"June 27, 2003",0,0,0,,10,,6,,10
"June 26, 2003",0,0,0,,36,,18,,34
"June 24, 2003",0,0.03,1.79,,98,,48,,120
"June 20, 2003",0,0,0.16,,72,,42,,52
"September 19, 2002",0,0,0,,4,,22,,32
"September 12, 2002",0,0,0,,126,,116,,122
"September 5, 2002",0,0.35,0.74,,16,,20,,36
"August 30, 2002",0.05,0.89,0.89,,22,,26,,4
"August 29, 2002",0.84,0.84,0.84,,110,,26,,2
"August 23, 2002",0.02,0.49,0.49,,4,,2,,2
"August 22, 2002",0.47,0.47,0.81,,12,,16,,14
"August 21, 2002",0,0.34,0.34,<,5,<,5,,5
"August 20, 2002",0.34,0.34,0.34,,10,,10,<,5
"August 19, 2002",0,0,0,<,5,<,5,<,5
"August 18, 2002",0,0,0.02,,5,<,5,<,5
"August 17, 2002",0,0.02,0.02,<,5,<,5,<,5
"August 16, 2002",0.02,0.02,0.02,,2,,2,<,2
"August 15, 2002",0,0,0,,30,,6,<,2
"August 14, 2002",0,0,0,<,5,<,5,,25
"August 13, 2002",0,0,0,,5,,10,,5
"August 12, 2002",0,0,0,,15,,90,,10
"August 11, 2002",0,0,0,,35,,90,,10
"August 10, 2002",0,0,0,,5,,10,,5
"August 9, 2002",0,0,0,<,2,<,2,<,2
"August 8, 2002",0,0,0,<,2,,2,,2
"August 7, 2002",0,0,0,,5,,5,<,5
"August 6, 2002",0,0,0,<,5,<,5,,5
"August 5, 2002",0,0,0,,10,<,5,,25
"August 4, 2002",0,0,0.11,<,5,<,5,,5
"August 3, 2002",0,0.11,0.11,,25,<,5,<,5
"August 2, 2002",0.11,0.11,0.11,,12,,12,,2
"August 1, 2002",0,0,0,,34,,46,,20
"July 31, 2002",0,0,0,,20,,25,<,5
"July 30, 2002",0,0,0.02,,5,,30,,45
"July 29, 2002",0,0.02,0.09,,10,,15,,30
"July 28, 2002",0.02,0.09,0.09,,5,,10,,5
"July 27, 2002",0.07,0.07,0.07,<,5,<,5,,5
"July 26, 2002",0,0,0,,8,,4,,8
"July 25, 2002",0,0,0.46,,12,,4,,18
"July 24, 2002",0,0.46,0.46,<,5,<,5,,5
"July 23, 2002",0.46,0.46,0.46,<,5,<,5,<,5
"July 22, 2002",0,0,0,<,5,,5,<,5
"July 21, 2002",0,0,0.2,<,5,<,5,<,5
"July 20, 2002",0,0.2,0.2,,10,,5,,10
"July 19, 2002",0.2,0.2,0.2,,40,,30,,56
"July 18, 2002",0,0,0,,4,,34,,58
"July 17, 2002",0,0,0.05,,5,<,5,,55
"July 16, 2002",0,0.05,0.05,,10,,5,,5
"July 15, 2002",0.05,0.05,0.05,<,5,,20,,25
"July 14, 2002",0,0,0,<,5,,10,,15
"July 13, 2002",0,0,0,<,5,,5,,10
"July 12, 2002",0,0,0.01,,12,,42,,62
"July 11, 2002",0,0.01,0.62,,66,,20,,70
"July 10, 2002",0.01,0.62,0.62,,5,<,5,,10
"July 9, 2002",0.61,0.61,0.61,,5,<,5,<,5
"July 8, 2002",0,0,0,<,5,<,5,<,5
"July 7, 2002",0,0,0,<,5,,5,<,5
"July 6, 2002",0,0,0,<,5,<,5,<,5
"July 5, 2002",0,0,0,,22,,50,,42
"July 3, 2002",0,0,0,,10,,10,,5
"July 2, 2002",0,0,0,,5,<,5,<,5
"July 1, 2002",0,0,0,,5,,10,<,5
"June 28, 2002",0.01,1.33,1.33,,1600,,854,,908
"June 27, 2002",1.32,1.32,1.32,,18,<,2,,32
"June 20, 2002",0,0.02,0.02,,22,,4,,2
"June 6, 2002",0.79,1.02,1.02,,130,,60,,88
"September 20, 2001",0.01,0.01,0.01,,4,,170,,200
"September 13, 2001",0.05,0.05,0.05,,6,,,,
"September 6, 2001",0,0,0.1,<,2,<,2,<,2
"September 3, 2001",0,0,0.02,<,5,<,5,,10
"September 2, 2001",0,0.02,0.02,<,5,<,5,,5
"September 1, 2001",0.02,0.02,0.02,<,5,<,5,<,5
"August 31, 2001",0,0,0,,8,,26,,2
"August 30, 2001",0,0,0,,14,,14,,12
"August 29, 2001",0,0,0.1,,55,,10,<,5
"August 28, 2001",0,0.1,0.1,<,5,,5,<,5
"August 27, 2001",0.1,0.1,0.1,,130,,105,,25
"August 26, 2001",0,0,0,,5,,45,,20
"August 25, 2001",0,0,0,<,5,<,5,,5
"August 24, 2001",0,0,0,,2,,2,,24
"August 23, 2001",0,0,0,,,,10,,86
"August 22, 2001",0,0,0.3,,25,,10,,10
"August 21, 2001",0,0.3,0.3,,5,,45,,100
"August 20, 2001",0.3,0.3,0.3,,145,,130,,25
"August 19, 2001",0,0,0.17,,25,,260,,135
"August 18, 2001",0,0.17,0.17,,5,<,5,<,5
"August 17, 2001",0.17,0.17,0.17,,460,,98,,310
"August 16, 2001",0,0,0,,4,,22,,36
"August 15, 2001",0,0,0.36,<,5,,5,<,5
"August 14, 2001",0,0.36,1.48,,5,,25,,5
"August 13, 2001",0.36,1.48,1.48,,10,,45,,15
"August 12, 2001",1.12,1.12,1.6,,5360,,5160,,3960
"August 11, 2001",0,0.48,0.48,<,5,<,5,,5
"August 10, 2001",0.48,0.48,0.48,<,2,,20,,14
"August 9, 2001",0,0,0,,72,,4,,2
"August 8, 2001",0,0,0,<,5,,10,,55
"August 7, 2001",0,0,0,,5,<,5,,5
"August 6, 2001",0,0,0.04,,15,,50,,10
"August 5, 2001",0,0.04,1.61,,35,,80,<,5
"August 4, 2001",0.04,1.61,1.61,,20,,30,,115
"August 3, 2001",1.57,1.57,1.57,,10,,36,,78
"August 2, 2001",0,0,0,,8,,58,,14
"August 1, 2001",0,0,0,,5,,5,,5
"July 31, 2001",0,0,0,<,5,<,5,<,5
"July 30, 2001",0,0,0,,5,<,5,<,5
"July 29, 2001",0,0,0,<,5,,10,<,5
"July 28, 2001",0,0,0.21,<,5,<,5,<,5
"July 27, 2001",0,0.21,0.21,<,2,<,2,<,2
"July 26, 2001",0.21,0.21,0.21,,36,,18,,2
"July 25, 2001",0,0,0,,5,<,5,,10
"July 24, 2001",0,0,0,<,5,<,5,<,5
"July 23, 2001",0,0,0,,200,,5,,15
"July 22, 2001",0,0,0,,65,,10,,15
"July 21, 2001",0,0,0,,1160,,35,,45
"July 20, 2001",0,0,0,<,2,,2,,6
"July 19, 2001",0,0,0.3,,6,,12,,44
"July 18, 2001",0,0.3,0.3,<,5,<,5,,5
"July 17, 2001",0.3,0.3,0.3,,370,,85,,40
"July 16, 2001",0,0,0,<,5,<,5,<,5
"July 15, 2001",0,0,0,,15,<,5,,40
"July 14, 2001",0,0,0.02,<,5,,5,<,5
"July 13, 2001",0,0.02,0.03,,2,,6,,2
"July 12, 2001",0.02,0.03,0.24,,30,,12,<,2
"July 11, 2001",0.01,0.22,0.22,,25,,5,,25
"July 10, 2001",0.21,0.21,0.3,,15,<,5,,45
"July 9, 2001",0,0.09,0.09,<,5,,15,<,5
"July 8, 2001",0.09,0.09,0.09,<,5,,10,<,5
"July 7, 2001",0,0,0.62,,5,,5,<,5
"July 6, 2001",0,0.62,0.62,,8,,6,,8
"July 5, 2001",0.62,0.62,0.62,<,2,,2,,2
"July 4, 2001",0,0,0,<,5,<,5,<,5
"July 3, 2001",0,0,0.67,,10,,5,<,5
"July 2, 2001",0,0.67,1.64,,170,,50,,50
"July 1, 2001",0.67,1.64,1.64,<,5,<,5,,10
"June 30, 2001",0.97,0.97,0.97,<,5,<,5,<,5
"June 29, 2001",0,0,0,,6,<,2,,6
"June 28, 2001",0,0,0,<,2,,2,<,2
"June 27, 2001",0,0,0,,10,,20,<,10
"June 26, 2001",0,0,0.04,,10,<,10,<,10
"June 25, 2001",0,0.04,0.46,,20,,90,,30
"June 24, 2001",0.04,0.46,0.46,<,10,,20,,10
"June 23, 2001",0.42,0.42,0.42,<,10,<,10,,20
"June 22, 2001",0,0,0.32,,122,,74,,108
"June 21, 2001",0,0.32,0.32,,118,,82,,140
"June 14, 2001",0,0,0.12,,8,,2,,8
"June 7, 2001",0,0,0,,4,,4,,4
"May 31, 2001",0,0.01,0.01,<,2,<,2,<,2
"May 24, 2001",0.34,0.37,0.86,<,2,,46,,72
